fold,ticker_a,ticker_b,hedge_ratio,direction,entry_date,exit_date,entry_zscore,exit_zscore,gross_pnl,cost,net_pnl
10,XLP,XLV,0.87377,short,2022-01-04,2022-01-05,2.8646,2.3263,0.0,10.0,-10.0
10,XLP,XLV,0.87377,short,2022-01-06,2022-01-12,2.218,-0.4523,201.24,10.0,191.24
10,XLP,XLV,0.87377,short,2022-02-18,2022-02-23,2.3059,0.1199,86.2,10.0,76.2
10,XLP,XLV,0.87377,long,2022-02-24,2022-02-25,-2.1545,-0.7934,-0.0,10.0,-10.0
10,XLP,XLV,0.87377,long,2022-02-28,2022-03-02,-1.2121,-0.8184,20.12,10.0,10.12
10,XLP,XLV,0.87377,long,2022-03-10,2022-03-15,-2.1449,-0.2548,51.96,10.0,41.96
11,XLP,XLV,0.874706,short,2022-04-25,2022-04-26,1.5356,0.9524,-0.0,10.0,-10.0
11,XLP,XLV,0.874706,short,2022-04-27,2022-04-28,1.1731,0.9832,0.0,10.0,-10.0
12,XLP,XLV,0.874601,long,2022-09-08,2022-09-13,-2.02,-1.004,70.88,10.0,60.88
12,XLP,XLV,0.874601,long,2022-09-14,2022-09-19,-0.7222,0.7672,90.0,10.0,80.0
13,XLP,XLV,0.869038,long,2022-09-20,2022-09-21,0.9692,1.7139,0.0,10.0,-10.0
14,XLP,XLV,0.871829,long,2023-01-19,2023-01-20,-2.0965,-0.9485,-0.0,10.0,-10.0
14,XLP,XLV,0.871829,long,2023-01-23,2023-01-26,-0.5691,-0.1425,72.29,10.0,62.29
15,XLP,XLV,0.877398,long,2023-05-22,2023-05-25,-2.0791,-0.2973,80.29,10.0,70.29
17,XLP,XLV,0.864339,long,2023-10-05,2023-10-13,-2.5029,-0.1558,95.1,10.0,85.1
21,XLP,XLV,0.877194,short,2024-11-14,2024-11-21,2.1909,0.0681,151.4,10.0,141.4
2,XLB,XLV,0.717774,long,2020-02-26,2020-02-27,-1.8058,-3.288,0.0,10.0,-10.0
2,XLB,XLV,0.717774,long,2020-02-28,2020-03-02,-2.2326,-0.539,0.0,10.0,-10.0
3,XLB,XLV,0.695675,long,2020-04-07,2020-04-08,3.25,3.5545,0.0,10.0,-10.0
3,XLB,XLV,0.695675,short,2020-04-13,2020-04-14,2.0708,0.6738,-0.0,10.0,-10.0
3,XLB,XLV,0.695675,short,2020-04-16,2020-04-17,-2.9998,-0.1423,-0.0,10.0,-10.0
3,XLB,XLV,0.695675,short,2020-04-28,2020-04-29,3.2854,3.4915,0.0,10.0,-10.0
3,XLB,XLV,0.695675,short,2020-05-19,2020-05-22,1.5955,0.4971,51.7,10.0,41.7
3,XLB,XLV,0.695675,short,2020-05-26,2020-05-29,2.2263,0.1594,110.11,10.0,100.11
3,XLB,XLV,0.695675,short,2020-06-03,2020-06-05,2.6045,2.359,29.9,10.0,19.9
3,XLB,XLV,0.695675,short,2020-06-08,2020-06-10,1.283,-0.3184,74.08,10.0,64.08
3,XLB,XLV,0.695675,long,2020-06-12,2020-06-15,-0.7918,0.0904,0.0,10.0,-10.0
5,XLB,XLV,0.741124,long,2020-11-06,2020-11-11,0.8334,0.0862,75.02,10.0,65.02
5,XLB,XLV,0.741124,short,2020-11-24,2020-11-27,2.1629,0.425,124.42,10.0,114.42
6,XLB,XLV,0.75358,short,2021-01-06,2021-01-08,2.5537,0.3423,104.16,10.0,94.16
7,XLB,XLV,0.770297,long,2021-06-10,2021-06-18,-2.0969,-2.1776,-9.93,10.0,-19.93
8,XLB,XLV,0.757229,long,2021-06-21,2021-06-22,-0.5955,-0.2189,0.0,10.0,-10.0
8,XLB,XLV,0.757229,short,2021-08-11,2021-08-13,2.2502,0.2789,125.73,10.0,115.73
11,XLB,XLV,0.762065,long,2022-06-14,2022-06-16,-1.4947,-2.737,-0.34,10.0,-10.34
11,XLB,XLV,0.762065,long,2022-06-17,2022-06-17,-1.8052,-1.8052,0.0,10.0,-10.0
12,XLB,XLV,0.742292,long,2022-06-22,2022-06-23,-2.5426,-3.6712,-0.0,10.0,-10.0
12,XLB,XLV,0.742292,long,2022-09-01,2022-09-07,-2.4112,0.5771,146.74,10.0,136.74
12,XLB,XLV,0.742292,long,2022-09-16,2022-09-19,-2.1264,0.0937,-0.0,10.0,-10.0
13,XLB,XLV,0.739194,long,2022-09-26,2022-09-28,-2.0665,0.0652,98.08,10.0,88.08
13,XLB,XLV,0.739194,short,2022-11-04,2022-11-09,2.1098,0.5055,33.42,10.0,23.42
13,XLB,XLV,0.739194,short,2022-11-11,2022-11-16,3.1298,0.0204,185.73,10.0,175.73
14,XLB,XLV,0.753414,short,2023-01-09,2023-01-17,2.4483,0.2641,115.65,10.0,105.65
14,XLB,XLV,0.753414,long,2023-03-13,2023-03-20,-2.3432,-0.0753,90.22,10.0,80.22
18,XLB,XLV,0.754455,long,2024-02-05,2024-02-07,-2.1731,0.0114,130.78,10.0,120.78
